MPH,START_TIME,STOP_TIME,PID,DATE
1.9,12:24:10,12:25:10,1,2017-03-16
1.9,12:50:00,12:51:00,2,2017-03-16
1.9,10:10:16,10:11:16,3,2017-03-22
1.9,10:32:38,10:33:38,4,2017-03-22
1.9,10:54:00,10:55:00,5,2017-03-22
1.9,11:16:31,11:17:31,6,2017-03-22
1.9,15:40:25,15:40:55,7,2016-03-25
1.9,15:52:10,15:52:40,8,2016-03-25
1.9,15:18:50,15:19:10,9,2016-03-22
1.9,15:41:40,15:42:00,10,2016-03-22
3.1,12:25:43,12:26:43,1,2017-03-16
3.1,12:51:28,12:52:28,2,2017-03-16
3.1,10:12:16,10:13:16,3,2017-03-22
3.1,10:34:15,10:35:15,4,2017-03-22
3.1,10:55:30,10:56:30,5,2017-03-22
3.1,11:18:13,11:19:13,6,2017-03-22
3.1,15:41:35,15:42:05,7,2016-03-25
3.1,15:53:40,15:54:10,8,2016-03-25
3.1,15:20:15,15:20:35,9,2016-03-22
3.1,15:42:40,15:43:00,10,2016-03-22
4.3,12:27:40,12:28:40,1,2017-03-16
4.3,12:52:48,12:53:49,2,2017-03-16
4.3,10:14:00,10:15:00,3,2017-03-22
4.3,10:35:50,10:36:50,4,2017-03-22
4.3,10:57:02,10:58:02,5,2017-03-22
4.3,11:19:40,11:20:39,6,2017-03-22
4.3,15:42:50,15:43:20,7,2016-03-25
4.3,15:54:55,15:55:25,8,2016-03-25
4.3,15:21:20,15:21:40,9,2016-03-22
4.3,15:43:35,15:43:55,10,2016-03-22
5,12:29:34,12:30:34,1,2017-03-16
5,12:54:48,12:55:49,2,2017-03-16
5,10:15:29,10:16:28,3,2017-03-22
5,10:37:11,10:38:11,4,2017-03-22
5,10:58:38,10:59:39,5,2017-03-22
5,11:21:10,11:22:10,6,2017-03-22
5,15:44:05,15:44:35,7,2016-03-25
5,15:56:20,15:56:50,8,2016-03-25
5,15:22:25,15:22:45,9,2016-03-22
5,15:44:35,15:44:55,10,2016-03-22
6.2,12:31:33,12:32:33,1,2017-03-16
6.2,12:56:25,12:57:27,2,2017-03-16
6.2,10:17:00,10:18:00,3,2017-03-22
6.2,10:38:44,10:39:44,4,2017-03-22
6.2,11:00:20,11:01:20,5,2017-03-22
6.2,11:22:44,11:23:44,6,2017-03-22
6.2,15:45:20,15:45:50,7,2016-03-25
6.2,15:57:40,15:58:10,8,2016-03-25
6.2,15:23:25,15:23:45,9,2016-03-22
6.2,15:45:55,15:46:15,10,2016-03-22
7.5,12:33:26,12:34:26,1,2017-03-16
7.5,12:58:05,12:59:05,2,2017-03-16
7.5,10:18:45,10:19:45,3,2017-03-22
7.5,10:40:22,10:41:22,4,2017-03-22
7.5,11:02:00,11:03:00,5,2017-03-22
7.5,11:24:24,11:25:24,6,2017-03-22
7.5,15:46:50,15:47:20,7,2016-03-25
7.5,15:59:10,15:59:40,8,2016-03-25
7.5,15:24:25,15:24:45,9,2016-03-22
7.5,15:47:55,15:48:15,10,2016-03-22
8.6,12:35:11,12:36:11,1,2017-03-16
8.6,12:59:50,13:00:51,2,2017-03-16
8.6,10:20:31,10:21:30,3,2017-03-22
8.6,10:42:00,10:43:00,4,2017-03-22
8.6,11:03:36,11:04:30,5,2017-03-22
8.6,11:26:15,11:27:15,6,2017-03-22
8.6,15:48:25,15:48:55,7,2016-03-25
8.6,16:00:40,16:01:10,8,2016-03-25
8.6,15:25:25,15:25:45,9,2016-03-22
8.6,15:50:50,15:51:10,10,2016-03-22
10,12:36:44,12:37:44,1,2017-03-16
10,13:01:48,13:02:48,2,2017-03-16
10,10:22:08,10:23:08,3,2017-03-22
10,10:44:00,10:45:00,4,2017-03-22
10,11:05:30,11:06:30,5,2017-03-22
10,11:28:00,11:29:00,6,2017-03-22
10,15:28:15,15:28:35,9,2016-03-22
11.2,12:38:43,12:39:43,1,2017-03-16
11.2,13:03:31,13:04:31,2,2017-03-16
11.2,10:23:50,10:24:50,3,2017-03-22
11.2,10:46:41,10:47:07,4,2017-03-22
11.2,11:07:30,11:08:30,5,2017-03-22
11.2,11:29:40,11:30:40,6,2017-03-22
11.2,15:30:55,15:31:15,9,2016-03-22
12.4,12:40:51,12:41:51,1,2017-03-16
12.4,13:05:43,13:06:43,2,2017-03-16
12.4,10:26:00,10:26:30,3,2017-03-22
12.4,10:48:30,10:48:50,4,2017-03-22
12.4,11:09:30,11:10:30,5,2017-03-22
12.4,11:31:30,11:32:30,6,2017-03-22
12.4,15:34:45,15:35:05,9,2016-03-22